worker_id,date,income,platform,hours_worked,data_source
SYN001,2026-01-01,393,Delivery,8.7,synthetic_demo
SYN001,2026-01-02,483,Delivery,9.1,synthetic_demo
SYN001,2026-01-03,421,Delivery,9.6,synthetic_demo
SYN001,2026-01-04,454,Delivery,7.4,synthetic_demo
SYN001,2026-01-05,347,Delivery,9.3,synthetic_demo
SYN001,2026-01-06,387,Delivery,8.1,synthetic_demo
SYN001,2026-01-07,355,Delivery,7.1,synthetic_demo
SYN001,2026-01-08,413,Delivery,7.3,synthetic_demo
SYN001,2026-01-09,452,Delivery,8.9,synthetic_demo
SYN001,2026-01-10,479,Delivery,8.0,synthetic_demo
SYN001,2026-01-11,506,Delivery,9.3,synthetic_demo
SYN001,2026-01-12,375,Delivery,9.5,synthetic_demo
SYN001,2026-01-13,325,Delivery,9.5,synthetic_demo
SYN001,2026-01-14,404,Delivery,8.0,synthetic_demo
SYN001,2026-01-15,364,Delivery,7.2,synthetic_demo
SYN001,2026-01-16,349,Delivery,8.6,synthetic_demo
SYN001,2026-01-17,417,Delivery,9.8,synthetic_demo
SYN001,2026-01-18,447,Delivery,7.6,synthetic_demo
SYN001,2026-01-19,350,Delivery,9.4,synthetic_demo
SYN001,2026-01-20,343,Delivery,8.2,synthetic_demo
SYN001,2026-01-21,417,Delivery,9.1,synthetic_demo
SYN001,2026-01-22,353,Delivery,8.5,synthetic_demo
SYN001,2026-01-23,398,Delivery,7.4,synthetic_demo
SYN001,2026-01-24,433,Delivery,8.6,synthetic_demo
SYN001,2026-01-25,378,Delivery,8.0,synthetic_demo
SYN001,2026-01-26,370,Delivery,7.4,synthetic_demo
SYN001,2026-01-27,357,Delivery,7.4,synthetic_demo
SYN001,2026-01-28,287,Delivery,9.0,synthetic_demo
SYN001,2026-01-29,337,Delivery,8.4,synthetic_demo
SYN001,2026-01-30,454,Delivery,8.6,synthetic_demo
SYN001,2026-01-31,443,Delivery,9.6,synthetic_demo
SYN001,2026-02-01,413,Delivery,9.3,synthetic_demo
SYN001,2026-02-02,340,Delivery,7.0,synthetic_demo
SYN001,2026-02-03,376,Delivery,9.1,synthetic_demo
SYN001,2026-02-04,371,Delivery,7.3,synthetic_demo
SYN001,2026-02-05,328,Delivery,9.5,synthetic_demo
SYN001,2026-02-06,425,Delivery,7.4,synthetic_demo
SYN001,2026-02-07,498,Delivery,9.7,synthetic_demo
SYN001,2026-02-08,387,Delivery,7.3,synthetic_demo
SYN001,2026-02-09,318,Delivery,9.9,synthetic_demo
SYN001,2026-02-10,354,Delivery,8.7,synthetic_demo
SYN001,2026-02-11,397,Delivery,9.2,synthetic_demo
SYN001,2026-02-12,429,Delivery,7.3,synthetic_demo
SYN001,2026-02-13,402,Delivery,9.8,synthetic_demo
SYN001,2026-02-14,381,Delivery,9.9,synthetic_demo
SYN001,2026-02-15,419,Delivery,9.2,synthetic_demo
SYN001,2026-02-16,334,Delivery,9.0,synthetic_demo
SYN001,2026-02-17,311,Delivery,9.7,synthetic_demo
SYN001,2026-02-18,365,Delivery,7.0,synthetic_demo
SYN001,2026-02-19,391,Delivery,8.7,synthetic_demo
SYN001,2026-02-20,0,Delivery,0,synthetic_demo
SYN001,2026-02-21,431,Delivery,7.0,synthetic_demo
SYN001,2026-02-22,141,Delivery,8.4,synthetic_demo
SYN001,2026-02-23,123,Delivery,9.1,synthetic_demo
SYN001,2026-02-24,117,Delivery,8.4,synthetic_demo
SYN001,2026-02-25,126,Delivery,7.2,synthetic_demo
SYN001,2026-02-26,126,Delivery,9.6,synthetic_demo
SYN001,2026-02-27,160,Delivery,8.9,synthetic_demo
SYN001,2026-02-28,188,Delivery,9.4,synthetic_demo
SYN001,2026-03-01,165,Delivery,7.5,synthetic_demo
SYN001,2026-03-02,129,Delivery,8.4,synthetic_demo
SYN001,2026-03-03,133,Delivery,7.2,synthetic_demo
SYN001,2026-03-04,373,Delivery,8.9,synthetic_demo
SYN001,2026-03-05,357,Delivery,7.0,synthetic_demo
SYN001,2026-03-06,405,Delivery,8.2,synthetic_demo
SYN001,2026-03-07,407,Delivery,9.6,synthetic_demo
SYN001,2026-03-08,427,Delivery,8.1,synthetic_demo
SYN001,2026-03-09,341,Delivery,9.3,synthetic_demo
SYN001,2026-03-10,325,Delivery,9.3,synthetic_demo
SYN001,2026-03-11,298,Delivery,8.4,synthetic_demo
SYN001,2026-03-12,373,Delivery,9.2,synthetic_demo
SYN001,2026-03-13,418,Delivery,7.9,synthetic_demo
SYN001,2026-03-14,332,Delivery,8.6,synthetic_demo
SYN001,2026-03-15,439,Delivery,8.5,synthetic_demo
SYN001,2026-03-16,350,Delivery,9.6,synthetic_demo
SYN001,2026-03-17,350,Delivery,9.8,synthetic_demo
SYN001,2026-03-18,348,Delivery,7.2,synthetic_demo
SYN001,2026-03-19,363,Delivery,8.7,synthetic_demo
SYN001,2026-03-20,396,Delivery,7.9,synthetic_demo
SYN001,2026-03-21,513,Delivery,7.3,synthetic_demo
SYN001,2026-03-22,317,Delivery,9.8,synthetic_demo
SYN001,2026-03-23,0,Delivery,0,synthetic_demo
SYN001,2026-03-24,326,Delivery,8.6,synthetic_demo
SYN001,2026-03-25,350,Delivery,7.3,synthetic_demo
SYN001,2026-03-26,395,Delivery,7.8,synthetic_demo
SYN001,2026-03-27,413,Delivery,8.6,synthetic_demo
SYN001,2026-03-28,527,Delivery,8.6,synthetic_demo
SYN001,2026-03-29,411,Delivery,8.6,synthetic_demo
SYN001,2026-03-30,396,Delivery,7.7,synthetic_demo
SYN001,2026-03-31,389,Delivery,9.2,synthetic_demo
SYN001,2026-04-01,350,Delivery,8.0,synthetic_demo
SYN001,2026-04-02,393,Delivery,9.5,synthetic_demo
SYN001,2026-04-03,397,Delivery,7.1,synthetic_demo
SYN001,2026-04-04,543,Delivery,9.5,synthetic_demo
SYN001,2026-04-05,0,Delivery,0,synthetic_demo
SYN001,2026-04-06,350,Delivery,7.4,synthetic_demo
SYN001,2026-04-07,326,Delivery,7.3,synthetic_demo
